Genes	Proteins	N duplicates	Score	Raw DMSO	Raw 3nM	Raw 10nM	Raw 30nM	Raw 100nM	Raw 300nM	Raw 1000nM	Raw 3000nM	Raw 30000nM	Peptides	Name	Imputation N	Imputation Position	Ratio DMSO	Ratio 3nM	Ratio 10nM	Ratio 30nM	Ratio 100nM	Ratio 300nM	Ratio 1000nM	Ratio 3000nM	Ratio 30000nM	Signal Quality	pEC50	Curve Slope	Curve Front	Curve Back	Curve Fold Change	Curve AUC	Curve R2	pEC50 Error	Curve Slope Error	Curve Front Error	Curve Back Error	Null Model	Null RMSE	Curve F_Value	Curve P_Value	Curve Log P_Value	Curve F_Value SAM Corrected	Curve Relevance Score	Curve Regulation
ADK	P55263	1	48.641	1529143	1529143	1529143	1529143	1529143	3721600	1529143	1529143	4146600	8	ADK	0		1.0	1.0	1.0	1.0	1.0	2.433781536455387	1.0	1.0	2.711714993300169	20.544291898026863	4.938062345516997	2.9501085484371714	1.2068977300449868	2.772898904674644	1.1535277997204259	1.3727781270935033	0.0	112.99402465754788	517.8906466398835	0.24883450876391222	111.19414704556652	1.3958595033044905	0.6041096104698288	2.5815933652324703	0.17000356907097108	0.7695419609066824	1.3607303378109634	0.38991198427580415	
ADRBK1	P25098;P35626	1	52.128	13989000	10032000	12945000	12230000	12016000	10870000	15145000	14441000	10276000	20	ADRBK1	0		1.0	0.717134891700622	0.9253699335191936	0.8742583458431625	0.8589606119093574	0.7770391021516906	1.082636357137751	1.0323111015798128	0.7345771677746801	23.73778949972314	4.787694512281024	5.083328570781255	0.9035595842396784	0.7271574540624377	-0.2983378757390645	0.8917149840894529	0.8739915753221914	186177.33009595162	1213334.6440206678	0.06115893340322735	22204.95747310871	0.8864574913256023	0.11031703222383413	0.537018991693385	0.8206427819743278	0.08584584602002146	0.19359193524773213	0.002678370755872427	
AGK	Q53H12	1	54.036	1529143	1529143	1529143	4801600	1529143	5705200	5374100	6954700	5602800	9	AGK	0		1.0	1.0	1.0	3.140059497378597	1.0	3.7309787246843493	3.514452212775391	4.548103087808007	3.6640131106116303	20.544291898026863	6.717647984245404	7.603795413779484	1.5361963703363906	3.9279629889587335	1.3544186899836963	2.8485403206703426	0.0	1.533479788775565	58.000341779658655	0.46803179888468155	0.5404476536862501	2.7566511362649133	1.3173983643168337	7.019209049230695	0.025630899441630765	1.5912361532506731	2.99854069039895	0.8769044561516195	
AGPS	O00116	1	63.004	4936100	5491500	1529143	1529143	1529143	1529143	4396200	7466600	6977700	14	AGPS	0		1.0	1.112517979781609	0.30978768663519785	0.30978768663519785	0.30978768663519785	0.30978768663519785	0.8906221510909422	1.5126516885800532	1.4136058831871317	22.234940191534907	5.946835821666742	3.6414705883615754	0.4922237503798508	1.4621371588775167	1.5706862289334964	0.8375027044934056	0.011436289972743485	0.36190729968088087	17.582445768430624	0.16537362924126703	0.38481194578668837	0.8141861918393997	0.48786250643732704	3.448466003500244	0.10404242702708141	0.9827895254479565	1.9781492026863203	0.5953338944045634	
AHCY	P23526	1	323.31	6356900	5155400	5171000	5913800	12060000	10650000	6319300	6840800	10186000	19	AHCY	0		1.0	0.8109927794994416	0.8134468058330319	0.9302962135632148	1.8971511271217103	1.6753449008164356	0.994085167298526	1.076122009155406	1.6023533483301609	22.599891962987623	7.446308150677238	10.0	0.847406961707721	1.4167874410042791	0.7414964425462793	1.2635428707162497	0.4561985683831715	130.72744486338004	17072.541391862098	0.2088331664207796	0.18054339216955156	1.225814590324021	0.3625969562689628	2.4086342469149526	0.1896501693117855	0.7220467652409621	0.9808017678634248	0.2499813249455695	
AHNAK	Q09666	1	85.257	5794200	5306600	5875600	5149500	6829300	7256800	1529143	4309900	10819000	34	AHNAK	0		1.0	0.9158468813641227	1.0140485312899106	0.8887335611473542	1.178644161402782	1.2524248386317351	0.2639092540816679	0.7438300369334853	1.8672120396258327	22.466178052694715	4.934419361506342	3.2114079067267673	0.9042086750935281	1.8918170470315459	1.0303523605773401	1.007374286826384	0.3500363753416623	189.77317171382927	959.4753477787445	0.14933676363042128	103.94311048964501	1.0228254049805774	0.3787450549488536	2.782203102385346	0.150521995505986	0.8224000327685054	1.3443046818022588	0.3840517078681136	
AIFM1	O95831	1	127.96	19551000	16292000	16628000	19536000	23519000	19614000	22740000	19909000	18960000	24	AIFM1	0		1.0	0.8333077591939031	0.850493580891003	0.9992327758170938	1.202956370518132	1.0032223415682062	1.1631118612858677	1.018311083832029	0.969771367193494	24.22073906499964	7.609866279181174	4.709444770412617	0.8700354950973896	1.0628142415767663	0.28872727124670816	1.0188116690387683	0.9374908941546971	0.8926058081778798	45.33757540964992	0.07937120459190415	0.050295352828425864	1.0079909349511929	0.10808920205714065	2.0186811844295973	0.24670936348463518	0.6078143672004207	0.37079246235473085	0.034956261174434164	
AIMP1	Q12904	1	103.46	18876000	15684000	14196000	13398000	18411000	17318000	13290000	19149000	16759000	15	AIMP1	0		1.0	0.8308963763509218	0.7520661157024794	0.7097902097902098	0.9753655435473617	0.9174613265522357	0.7040686586141132	1.0144628099173554	0.8878470014833652	24.17004974079893	5.7224576580398745	10.0	0.8277648314386936	0.9510896673397818	0.20036040739495065	0.8647492995803139	0.8814008765682948	14.2704683348247	699.3356612445746	0.058503662794783105	0.1433038259064844	0.8622620095522195	0.10362421585332891	0.3801993003691011	0.9173807256571309	0.03745038871753653	0.11305723999141834	-0.0	
AIMP2	Q13155	1	46.211	7258900	10170000	10948000	6593700	8459400	9555200	12895000	12896000	6654300	7	AIMP2	0		1.0	1.40103872487567	1.5082174985190593	0.9083607709157034	1.165383184780063	1.3163426965518192	1.7764399564672333	1.7765777183870834	0.9167091432586204	22.791319510825957	4.781641454858898	5.608638818827939	1.3869332872432794	0.9003496637133995	-0.5969451177567073	1.355128411438331	0.4254761985295147	738819.069276961	5336688.993677703	0.1583145346169696	211484.2778162319	1.3400623849555506	0.2904092362971747	0.5210656977961263	0.8308699010976247	0.08046697339843785	0.2956210152829729	0.017442025122557107	
AK2	P54819	1	93.374	8333900	5947200	5743200	6490400	12676000	12605000	5640000	6228400	15194000	13	AK2	0		1.0	0.7136154741477579	0.6891371386745702	0.7787950419371483	1.5210165708731807	1.5124971501937867	0.6767539807293104	0.7473571797117796	1.8231560253902734	22.990560358305164	4.901432586284145	3.3235733620181023	0.962587955440235	1.8557309941921478	0.9102163318162272	1.0486810068130636	0.12698967572711506	431.0531154536668	2120.399479610665	0.1760731268572275	240.42736532324113	1.0649658900117867	0.39397223773071627	1.6366634638316855	0.327098022084942	0.4853220819838306	0.8583984302529326	0.2036348530505748	
